iter	Passed	Remaining
428	1717	2285
429	1720	2281
430	1724	2276
431	1727	2271
432	1730	2266
433	1734	2261
434	1737	2256
435	1740	2251
436	1743	2246
437	1746	2241
438	1750	2236
439	1753	2231
440	1756	2226
441	1760	2221
442	1763	2217
443	1766	2212
444	1769	2207
445	1773	2202
446	1776	2197
447	1780	2193
448	1783	2188
449	1786	2183
450	1789	2178
451	1792	2173
452	1795	2168
453	1799	2163
454	1802	2159
455	1805	2154
456	1809	2149
457	1812	2144
458	1815	2140
459	1818	2135
460	1822	2130
461	1826	2126
462	1832	2125
463	1837	2122
464	1841	2118
465	1844	2113
466	1848	2109
467	1852	2105
468	1855	2100
469	1858	2096
470	1862	2091
471	1865	2086
472	1868	2081
473	1871	2077
474	1874	2072
475	1878	2067
476	1881	2062
477	1884	2058
478	1888	2054
479	1891	2049
480	1896	2046
481	1903	2045
482	1909	2044
483	1912	2039
484	1916	2034
485	1919	2030
486	1923	2026
487	1926	2021
488	1930	2017
489	1933	2012
490	1936	2007
491	1940	2003
492	1943	1998
493	1946	1993
494	1949	1989
495	1953	1984
496	1956	1979
497	1959	1975
498	1962	1970
499	1965	1965
500	1969	1961
501	1972	1956
502	1975	1952
503	1978	1947
504	1982	1943
505	1985	1938
506	1989	1934
507	1992	1930
508	1996	1925
509	1999	1920
510	2002	1916
511	2005	1911
512	2010	1908
513	2014	1904
514	2018	1901
515	2025	1899
516	2030	1897
517	2037	1895
518	2041	1892
519	2045	1888
520	2049	1884
521	2052	1879
522	2056	1875
523	2059	1871
524	2063	1866
525	2066	1862
526	2069	1857
527	2074	1854
528	2079	1851
529	2085	1849
530	2089	1845
531	2092	1841
532	2096	1836
533	2099	1832
534	2103	1827
535	2106	1823
536	2109	1818
537	2112	1814
538	2115	1809
539	2119	1805
540	2122	1800
541	2125	1795
542	2128	1791
543	2131	1786
544	2134	1782
545	2137	1777
546	2141	1773
547	2144	1768
548	2147	1764
549	2150	1759
550	2154	1755
551	2157	1750
552	2160	1746
553	2164	1742
554	2167	1738
555	2171	1734
556	2174	1729
557	2177	1725
558	2181	1720
559	2185	1717
560	2188	1712
561	2191	1707
562	2194	1703
563	2199	1700
564	2203	1696
565	2210	1694
566	2215	1692
567	2219	1687
568	2222	1683
569	2226	1679
570	2229	1675
571	2232	1670
572	2236	1666
573	2239	1662
574	2242	1657
575	2245	1653
576	2248	1648
577	2251	1644
578	2254	1639
579	2258	1635
580	2262	1631
581	2265	1627
582	2269	1623
583	2276	1621
584	2280	1618
585	2284	1613
586	2287	1609
587	2291	1605
588	2294	1601
589	2298	1597
590	2301	1592
591	2304	1588
592	2307	1583
593	2311	1579
594	2314	1575
595	2318	1571
596	2321	1567
597	2324	1562
598	2328	1558
599	2331	1554
600	2334	1549
601	2338	1546
602	2342	1542
603	2346	1538
604	2351	1534
605	2355	1531
606	2363	1530
607	2367	1526
608	2371	1522
609	2374	1518
610	2378	1514
611	2381	1509
612	2385	1506
613	2390	1502
614	2394	1499
615	2402	1497
616	2407	1494
617	2410	1490
618	2413	1485
619	2417	1481
620	2420	1477
621	2424	1473
622	2427	1468
623	2430	1464
624	2433	1460
625	2437	1456
626	2440	1451
627	2443	1447
628	2446	1443
629	2451	1439
630	2455	1435
631	2459	1432
632	2464	1429
633	2472	1427
634	2475	1422
635	2478	1418
636	2481	1414
637	2485	1410
638	2488	1405
639	2491	1401
640	2495	1397
641	2498	1393
642	2501	1388
643	2504	1384
644	2507	1380
645	2511	1376
646	2514	1371
647	2518	1368
648	2521	1363
649	2525	1359
650	2528	1355
651	2531	1351
652	2534	1346
653	2537	1342
654	2541	1338
655	2544	1334
656	2547	1330
657	2550	1325
658	2553	1321
659	2556	1317
660	2560	1313
661	2563	1308
662	2566	1304
663	2570	1300
664	2577	1298
665	2582	1294
666	2588	1292
667	2594	1289
668	2597	1285
669	2601	1281
670	2604	1277
671	2607	1272
672	2610	1268
673	2613	1264
674	2617	1260
675	2620	1256
676	2623	1251
677	2627	1247
678	2630	1243
679	2633	1239
680	2636	1235
681	2641	1231
682	2644	1227
683	2649	1223
684	2655	1221
685	2659	1217
686	2663	1213
687	2667	1209
688	2670	1205
689	2674	1201
690	2677	1197
691	2680	1193
692	2684	1189
693	2687	1185
694	2690	1180
695	2694	1176
696	2697	1172
697	2700	1168
698	2703	1164
699	2707	1160
700	2710	1156
701	2714	1152
702	2717	1148
703	2720	1143
704	2723	1139
705	2727	1135
706	2731	1131
707	2734	1127
708	2737	1123
709	2740	1119
710	2743	1115
711	2746	1111
712	2750	1107
713	2753	1102
714	2756	1098
715	2759	1094
716	2763	1090
717	2767	1087
718	2770	1082
719	2779	1080
720	2782	1076
721	2785	1072
722	2789	1068
723	2792	1064
724	2796	1060
725	2799	1056
726	2803	1052
727	2806	1048
728	2809	1044
729	2813	1040
730	2816	1036
731	2819	1032
732	2823	1028
733	2827	1024
734	2832	1021
735	2839	1018
736	2842	1014
737	2846	1010
738	2849	1006
739	2853	1002
740	2857	998
741	2862	995
742	2866	991
743	2870	987
744	2873	983
745	2876	979
746	2880	975
747	2883	971
748	2886	967
749	2890	963
750	2894	959
751	2897	955
752	2901	951
753	2905	947
754	2909	943
755	2912	940
756	2916	936
757	2920	932
758	2924	928
759	2927	924
760	2931	920
761	2935	916
762	2938	912
763	2941	908
764	2944	904
765	2947	900
766	2952	896
767	2960	894
768	2967	891
769	2971	887
770	2975	883
771	2979	879
772	2982	875
773	2986	872
774	2990	868
775	2993	864
776	2997	860
777	3000	856
778	3003	852
779	3006	848
780	3009	844
781	3014	840
782	3018	836
783	3024	833
784	3028	829
785	3032	825
786	3035	821
787	3039	817
788	3042	813
789	3045	809
790	3049	805
791	3052	801
792	3056	797
793	3059	793
794	3062	789
795	3065	785
796	3069	781
797	3072	777
798	3075	773
799	3078	769
800	3082	765
801	3085	761
802	3088	757
803	3091	753
804	3095	749
805	3098	745
806	3102	741
807	3106	738
808	3109	734
809	3113	730
810	3116	726
811	3120	722
812	3123	718
813	3126	714
814	3130	710
815	3133	706
816	3137	702
817	3141	698
818	3145	695
819	3152	692
820	3160	689
821	3164	685
822	3168	681
823	3172	677
824	3175	673
825	3179	669
826	3182	665
827	3186	661
828	3190	658
829	3193	654
830	3198	650
831	3202	646
832	3207	643
833	3215	639
834	3219	636
835	3222	632
836	3226	628
837	3230	624
838	3234	620
839	3238	616
840	3242	612
841	3245	608
842	3249	605
843	3252	601
844	3256	597
845	3259	593
846	3263	589
847	3266	585
848	3269	581
849	3273	577
850	3276	573
851	3279	569
852	3282	565
853	3287	561
854	3290	558
855	3293	554
856	3296	550
857	3300	546
858	3303	542
859	3306	538
860	3310	534
861	3313	530
862	3316	526
863	3320	522
864	3323	518
865	3327	514
866	3332	511
867	3336	507
868	3342	503
869	3347	500
870	3351	496
871	3355	492
872	3359	488
873	3362	484
874	3366	480
875	3369	476
876	3372	473
877	3376	469
878	3379	465
879	3382	461
880	3387	457
881	3392	453
882	3398	450
883	3402	446
884	3405	442
885	3409	438
886	3412	434
887	3415	430
888	3419	426
889	3422	423
890	3426	419
891	3429	415
892	3432	411
893	3435	407
894	3439	403
895	3442	399
896	3445	395
897	3449	391
898	3452	387
899	3455	383
900	3458	380
901	3461	376
902	3464	372
903	3468	368
904	3471	364
905	3474	360
906	3478	356
907	3481	352
908	3484	348
909	3487	344
910	3490	341
911	3494	337
912	3498	333
913	3501	329
914	3504	325
915	3507	321
916	3512	317
917	3517	314
918	3524	310
919	3530	307
920	3534	303
921	3537	299
922	3541	295
923	3544	291
924	3548	287
925	3551	283
926	3558	280
927	3563	276
928	3570	272
929	3575	269
930	3583	265
931	3591	262
932	3598	258
933	3605	254
934	3609	250
935	3612	247
936	3615	243
937	3619	239
938	3623	235
939	3626	231
940	3629	227
941	3633	223
942	3636	219
943	3639	215
944	3643	212
945	3646	208
946	3649	204
947	3652	200
948	3655	196
949	3659	192
950	3662	188
951	3666	184
952	3669	180
953	3672	177
954	3676	173
955	3679	169
956	3682	165
957	3686	161
958	3689	157
959	3692	153
960	3696	150
961	3700	146
962	3703	142
963	3711	138
964	3716	134
965	3719	130
966	3723	127
967	3726	123
968	3730	119
969	3733	115
970	3737	111
971	3740	107
972	3743	103
973	3747	100
974	3750	96
975	3753	92
976	3756	88
977	3760	84
978	3764	80
979	3768	76
980	3773	73
981	3779	69
982	3784	65
983	3794	61
984	3799	57
985	3803	54
986	3807	50
987	3812	46
988	3820	42
989	3825	38
990	3828	34
991	3831	30
992	3835	27
993	3838	23
994	3841	19
995	3845	15
996	3848	11
997	3852	7
998	3855	3
999	3858	0
