iter	MultiClass
0	1.536518197
1	1.4677742
2	1.406701938
3	1.357398628
4	1.313298256
5	1.266224061
6	1.223163681
7	1.178847907
8	1.138058381
9	1.102579907
10	1.066602086
11	1.036014465
12	1.008197033
13	0.9777017407
14	0.9485160945
15	0.9209959669
16	0.8950042159
17	0.8691224682
18	0.8485941283
19	0.8242866044
20	0.8018465309
21	0.7805418032
22	0.7586241158
23	0.7392608191
24	0.7199922407
25	0.7007288481
26	0.684253858
27	0.6674060783
28	0.6513061769
29	0.6369883678
30	0.6222714362
31	0.6092449368
32	0.5965434403
33	0.5850461517
34	0.5723337878
35	0.5611926473
36	0.5490388462
37	0.5386956305
38	0.52964194
39	0.5187049876
40	0.5079632908
41	0.4987675625
42	0.4901438859
43	0.4808796188
44	0.4724701635
45	0.462367507
46	0.4530297932
47	0.4462497478
48	0.4384516245
49	0.4305065776
50	0.4230224049
51	0.4162143731
52	0.4088879577
53	0.4030538452
54	0.3953614333
55	0.3893380631
56	0.3841251155
57	0.3784045896
58	0.3726950846
59	0.3671041709
60	0.3615749842
61	0.3560325713
62	0.3507378093
63	0.3449375428
64	0.339939782
65	0.334816934
66	0.3310294581
67	0.3266068445
68	0.3220751764
69	0.3179849659
70	0.3147847637
71	0.311517482
72	0.3075880207
73	0.3036766976
74	0.2988031234
75	0.2941034343
76	0.289813013
77	0.2869625075
78	0.2835481958
79	0.2799309987
80	0.277077878
81	0.2740974134
82	0.2714428741
83	0.2684035625
84	0.2662230821
85	0.2638089205
86	0.2612748611
87	0.2589846751
88	0.2566979816
89	0.2537447086
90	0.251316449
91	0.2485361183
92	0.2463041905
93	0.2437881688
94	0.2418082498
95	0.2407739583
96	0.2376882013
97	0.2355178585
98	0.233293304
99	0.2317278503
100	0.2304590024
101	0.2283390268
102	0.2267197599
103	0.2241341901
104	0.2221660827
105	0.2204128978
106	0.2187506653
107	0.2172051577
108	0.2152051775
109	0.2130869217
110	0.2115272557
111	0.2100810737
112	0.209305982
113	0.2076160265
114	0.2055442125
115	0.2043286919
116	0.2025387752
117	0.2005390182
118	0.1990274877
119	0.1972613076
120	0.1959213581
121	0.1942840551
122	0.1925190739
123	0.191651222
124	0.1907487164
125	0.1893508861
126	0.1879168312
127	0.1868318859
128	0.1856698395
129	0.1844641935
130	0.183068545
131	0.1817475128
132	0.1805205841
133	0.1793727408
134	0.1786964853
135	0.176875325
136	0.175802421
137	0.1744707248
138	0.1735420825
139	0.172382171
140	0.1711375259
141	0.169855352
142	0.1688227113
143	0.1682677427
144	0.1670361565
145	0.1657178395
146	0.1645249021
147	0.1636487749
148	0.1628907154
149	0.1621078652
150	0.1612591535
151	0.1602818969
152	0.1593601862
153	0.1581793568
154	0.157341924
155	0.1564064989
156	0.1556427894
157	0.1549004731
158	0.1538472899
159	0.1532438458
160	0.1523146171
161	0.1512645259
162	0.1504353365
163	0.1498350267
164	0.1490622249
165	0.1481727925
166	0.1475473313
167	0.1468740981
168	0.146127676
169	0.1451375105
170	0.1441982519
